role,title,name
abbot,เจ้าอาวาส,พระราชวชิรานุสิฐ ปโมทิโต
viceAbbot,รองเจ้าอาวาส,พระมหาประเสริฐ ปญฺญาสิฏฺโฐ
viceAbbot,รองเจ้าอาวาส,พระมหาสมัย หิริมโก
assistant,ผู้ช่วยเจ้าอาวาส,พระมหาพิสิฏฐ์เอก เสฏฺฐธมฺโม
assistant,ผู้ช่วยเจ้าอาวาส,พระมหาจิราพันธ์ วรเกตุ
assistant,ผู้ช่วยเจ้าอาวาส,พระครูอาทรปริยัตสุธี
assistant,ผู้ช่วยเจ้าอาวาส,พระมหา ดร.กังวาล ธีรธมฺโม
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาวิชชา ญาณเมธี
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาอธิโชค สุโชโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระครูสังฆรักษ์ธนกร กมโล
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาพิเชษฐ กนฺตเชฏฺโฐ
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาชินณัฐพนธ์ วชิรวํโส
monk,พระภิกษุสามเณร (พระลูกวัด),พระครูสมุห์พชร์ กนฺตวฑฺฒโน
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาสิทธิชัย ปภากโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระไพโรจน์ กิตฺติปาโล
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาบุญศรี กิตฺติโสภโณ
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาสมชาติ สุชาโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาเกรียงศักดิ์ ภูริวฑฺฒโน
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาพร้อมไพบูลย์ สุเมธโส
monk,พระภิกษุสามเณร (พระลูกวัด),พระสมุห์ดา สุเนตฺโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาจิรณัฐ อตฺถยุตฺโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาธีรชัย ธีรชโย
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหามนพล ธมฺมานนฺโท
monk,พระภิกษุสามเณร (พระลูกวัด),พระธนพล สํวโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาภูมินทร์ จนฺทสาโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาอนุชา จนฺทปภาโส
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาสมพร วรธมฺโม
monk,พระภิกษุสามเณร (พระลูกวัด),พระเมธีวัชรญาณบัณฑิต
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาธานินทร์ จิตฺตปุญฺโญ
monk,พระภิกษุสามเณร (พระลูกวัด),พระสุเทพ สุทฺธาโภ
monk,พระภิกษุสามเณร (พระลูกวัด),พระอภิเทพ อภิชาโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาวิศรุต หสปุตฺโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระครูสมุห์เขต ปฐมรํสี
monk,พระภิกษุสามเณร (พระลูกวัด),พระสมุห์สิน ขนฺติพโล
monk,พระภิกษุสามเณร (พระลูกวัด),พระจำนงค์ อตฺตานุรกฺโข
monk,พระภิกษุสามเณร (พระลูกวัด),พระเจริญ ผลวฑฺฒโน
monk,พระภิกษุสามเณร (พระลูกวัด),พระครูสถิตญาณธรรม
monk,พระภิกษุสามเณร (พระลูกวัด),พระชยกร ชยาสโภ
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาอนันต์ ถิรชโย
monk,พระภิกษุสามเณร (พระลูกวัด),พระธนากร ธนิโก
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาอรชุน อริยวํโส
monk,พระภิกษุสามเณร (พระลูกวัด),พระวิโรจน์ อิทฺธิวโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาพิพัฒพงศ์ ฐิตธมฺโม
monk,พระภิกษุสามเณร (พระลูกวัด),พระครูสมุห์อัครวัฒน์ ทีปงฺกโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระปลัดนิติศักดิ์ อคฺคปญฺโญ
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาอิทธิพัทธ์ อิทฺธิพทฺโธ
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาเชาวลิต โรจนธมฺโม
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหากริชวัฒน์ ชยวฑฺฒโน
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาไชยยันต์ ปุณฺณจิตฺโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระปราโมทย์ ปโมทิโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระใบฎีกาศตายุ ญาณวีโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาสุชาติ โสภณคุณเมธี
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาภาคิน สมิทฺธิชโย
monk,พระภิกษุสามเณร (พระลูกวัด),พระไตโช จรณธมฺโม
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหามงคลชัย ชินวโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระธนกฤต กิตฺติญาโณ
monk,พระภิกษุสามเณร (พระลูกวัด),พระทวีวัฒน์ วรวฑฺฒโน
monk,พระภิกษุสามเณร (พระลูกวัด),พระฤทธิรงค์ จิตฺตสํวโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาณัฐดนัย สีลเตโช
monk,พระภิกษุสามเณร (พระลูกวัด),พระบุญส่ง กนฺตสาโร
monk,พระภิกษุสามเณร (พระลูกวัด),พระชุษณะ โชติโก
monk,พระภิกษุสามเณร (พระลูกวัด),พระมหาธีรโชติ อชิโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระอนุภาพ อาคมญาโณ
monk,พระภิกษุสามเณร (พระลูกวัด),พระนโม ปญฺญาทีโป
monk,พระภิกษุสามเณร (พระลูกวัด),พระทองเย็น ปุริวฑฺฒโน
monk,พระภิกษุสามเณร (พระลูกวัด),พระศักดิ์สิทธิ์ สิทฺธิชโย
monk,พระภิกษุสามเณร (พระลูกวัด),พระจิรภัทร อตฺถโกวิโท
monk,พระภิกษุสามเณร (พระลูกวัด),พระธรรมชาติ ธมฺมชาโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระเอกชัย อภิชาโต
monk,พระภิกษุสามเณร (พระลูกวัด),พระวิชัย วิชโย
monk,พระภิกษุสามเณร (พระลูกวัด),พระอภิรักษ์ ธมฺมาภิรกฺโข
monk,พระภิกษุสามเณร (พระลูกวัด),พระธีรยุทธ อินฺทวีโร
